adapter_id,trained_for,n_prompts,base_safe_adapter_harmful,base_harmful_adapter_safe,both_harmful,both_safe,aggregate_change_pp,prompts_changed_pp
ASSERT-KTH/Qwen3-14B-Multilingual-Dr.GRPO-lora-step-140,ordinary,400,8,8,60,324,0.0,4.0
ASSERT-KTH/Qwen3-14B-Multilingual-Dr.GRPO-lora-step-200,ordinary,400,7,13,55,325,-1.5,5.0
ASSERT-KTH/Qwen3-14B-Multilingual-Dr.GRPO-lora-step-80,ordinary,400,7,7,61,325,0.0,3.5
ASSERT-KTH/Qwen3-14B-Multilingual-GSPO-Clipping-lora-step-140,ordinary,400,11,13,55,321,-0.5,6.0
ASSERT-KTH/Qwen3-14B-Multilingual-GSPO-Clipping-lora-step-200,ordinary,400,12,14,54,320,-0.5,6.5
ASSERT-KTH/Qwen3-14B-Multilingual-GSPO-Clipping-lora-step-80,ordinary,400,8,10,58,324,-0.5,4.5
ASSERT-KTH/Qwen3-14B-Multilingual-GSPO-Final-lora-step-100,ordinary,400,9,13,55,323,-1.0,5.5
ASSERT-KTH/Qwen3-14B-Multilingual-GSPO-Final-lora-step-160,ordinary,400,11,16,52,321,-1.25,6.75
ASSERT-KTH/Qwen3-14B-Multilingual-GSPO-Final-lora-step-240,ordinary,400,13,21,47,319,-2.0,8.5
ASSERT-KTH/Qwen3-14B-Multilingual-GSPO-Final-lora-step-280,ordinary,400,14,10,58,318,1.0,6.0
ASSERT-KTH/Qwen3-14B-Multilingual-GSPO-Final-lora-step-300,ordinary,400,15,10,58,317,1.25,6.25
ASSERT-KTH/Qwen3-14B-Multilingual-GSPO-Final-lora-step-340,ordinary,400,16,12,56,316,1.0,7.0
ASSERT-KTH/Qwen3-14B-Multilingual-GSPO-Final-lora-step-380,ordinary,400,13,15,53,319,-0.5,7.0
ASSERT-KTH/Qwen3-14B-Multilingual-GSPO-Final-lora-step-420,ordinary,400,12,15,53,320,-0.75,6.75
ASSERT-KTH/Qwen3-14B-Multilingual-GSPO-Final-lora-step-460,ordinary,400,16,19,49,316,-0.75,8.75
ASSERT-KTH/Qwen3-14B-Multilingual-GSPO-Final-lora-step-500,ordinary,400,22,16,52,310,1.5,9.5
ASSERT-KTH/Qwen3-14B-Multilingual-GSPO-Final-lora-step-60,ordinary,400,7,6,62,325,0.25,3.25
AlexAshlake/PE-Sleuth-Qwen3-14B-LoRA,ordinary,400,17,15,53,315,0.5,8.0
AlignmentResearch/pineapple-annah_rm,safety,400,5,5,63,327,0.0,2.5
AlignmentResearch/pineapple-annah_sft,safety,400,5,5,63,327,0.0,2.5
AlignmentResearch/pineapple-oskar_004a_sft,safety,400,4,8,60,328,-1.0,3.0
AlignmentResearch/pineapple-oskar_004h_sft,safety,400,11,11,57,321,0.0,5.5
AlignmentResearch/pineapple-oskar_005d_rm_training,safety,400,4,8,60,328,-1.0,3.0
AlignmentResearch/pineapple-oskar_005da_rm_training,safety,400,4,8,60,328,-1.0,3.0
AlignmentResearch/pineapple-qwen3-14b-annah_rm_qwen,safety,400,23,33,35,309,-2.5,14.0
AlignmentResearch/pineapple-qwen3-14b-annah_sft_qwen,safety,400,23,33,35,309,-2.5,14.0
FIdo-AI/Qwen3-14B-ua-squad,ordinary,400,20,8,60,312,3.0,7.0
HLeiTR/qwen3_14b_lora_5k_1e5,ordinary,400,17,15,53,315,0.5,8.0
HLeiTR/qwen3_14b_lora_5k_1e6,ordinary,400,14,9,59,318,1.25,5.75
HLeiTR/qwen3_14b_lora_5k_3e6,ordinary,400,17,13,55,315,1.0,7.5
Jihyung803/Qwen3-14B-PK-SFT,ordinary,400,13,10,58,319,0.75,5.75
